id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,label
686,5,Graduate,No,2800000,11000000,12,753,3900000,4600000,10700000,2400000,1
687,0,Graduate,Yes,2900000,9700000,2,820,6700000,1600000,9100000,3900000,1
688,4,Graduate,Yes,9500000,31800000,6,519,5900000,1300000,28400000,12200000,0
689,1,Not Graduate,Yes,800000,2200000,4,852,900000,200000,2200000,1000000,1
690,5,Graduate,Yes,9900000,25900000,4,860,7800000,200000,38000000,5400000,1
691,4,Graduate,No,9400000,33300000,18,369,20600000,5600000,32200000,7200000,0
692,3,Not Graduate,No,5400000,19400000,20,731,13800000,3200000,20000000,4300000,1
693,3,Graduate,Yes,3300000,9800000,6,360,4500000,600000,11000000,4400000,0
694,1,Not Graduate,No,5200000,10500000,20,317,3000000,8000000,19300000,5300000,0
695,5,Not Graduate,No,4600000,11500000,16,668,6500000,3100000,10200000,5500000,1
696,1,Graduate,No,9700000,23700000,6,875,11500000,14400000,38100000,10400000,1
697,2,Graduate,No,9300000,22000000,14,393,4300000,3800000,28400000,13900000,0
698,2,Graduate,No,4700000,12500000,14,375,1300000,6300000,10100000,5400000,0
699,4,Not Graduate,No,6700000,25300000,12,555,16900000,3600000,23500000,4900000,1
700,1,Graduate,No,3100000,10600000,14,665,6200000,800000,9500000,3900000,1
701,5,Not Graduate,Yes,9000000,19100000,14,540,11300000,800000,18300000,4900000,0
702,4,Not Graduate,Yes,9300000,27500000,18,338,21500000,500000,34900000,6600000,0
703,5,Graduate,Yes,2700000,10400000,2,723,2800000,700000,10300000,1400000,1
704,3,Not Graduate,Yes,8800000,28600000,10,775,5200000,5000000,32000000,9600000,1
705,2,Not Graduate,No,600000,1100000,10,800,1200000,200000,2300000,900000,1
706,0,Graduate,Yes,6100000,19200000,6,890,13900000,5900000,16700000,7600000,1
707,1,Graduate,Yes,1200000,4700000,2,667,1100000,300000,4200000,800000,1
708,2,Not Graduate,No,2900000,11000000,2,835,4900000,3200000,11500000,1400000,1
709,0,Graduate,Yes,5400000,21400000,8,721,8200000,6400000,16700000,7400000,1
710,4,Graduate,Yes,4900000,12800000,2,691,200000,4900000,14700000,7000000,1
711,2,Graduate,Yes,1900000,5000000,14,641,1000000,900000,5500000,2400000,1
712,3,Not Graduate,Yes,5200000,15000000,20,432,6900000,5000000,15600000,5100000,0
713,1,Not Graduate,No,2900000,8900000,6,523,900000,5600000,9700000,1800000,0
714,1,Not Graduate,Yes,4600000,10900000,12,463,1200000,1200000,10900000,6600000,0
715,3,Not Graduate,Yes,2100000,6100000,8,346,5500000,600000,4500000,2900000,0
716,2,Not Graduate,Yes,2000000,6700000,14,638,4900000,200000,4900000,2300000,1
717,1,Not Graduate,No,5200000,12600000,10,721,1100000,8700000,13900000,3600000,1
718,1,Graduate,Yes,8800000,33700000,14,561,10200000,7100000,25700000,11900000,1
719,3,Not Graduate,No,5200000,17200000,18,768,9200000,5500000,11700000,3800000,1
720,1,Graduate,Yes,3800000,8800000,12,670,5200000,4700000,12200000,3800000,1
721,5,Not Graduate,No,600000,2300000,4,347,0,0,1900000,200000,0
722,4,Not Graduate,No,9200000,21700000,6,653,22700000,4600000,29400000,8600000,1
723,4,Graduate,Yes,5300000,14500000,4,352,12600000,4900000,10500000,3500000,0
724,0,Not Graduate,No,5900000,17600000,16,645,13000000,3100000,23400000,8600000,1
725,4,Not Graduate,Yes,4900000,15900000,10,668,10800000,8300000,14900000,2800000,1
726,2,Not Graduate,No,8800000,22400000,14,692,21700000,5100000,18600000,10900000,1
727,5,Not Graduate,No,7900000,27800000,16,857,23300000,12500000,17200000,10600000,1
728,0,Not Graduate,Yes,5600000,20000000,20,606,7100000,500000,20000000,7600000,1
729,0,Graduate,No,6500000,20200000,16,842,8300000,12200000,14300000,9600000,1
730,0,Not Graduate,Yes,4500000,11500000,14,509,13400000,2300000,15400000,5900000,0
731,4,Not Graduate,Yes,4300000,15000000,8,383,4700000,100000,9000000,4900000,0
732,4,Not Graduate,No,4500000,9800000,16,895,9800000,8200000,13900000,5500000,1
733,3,Graduate,No,5500000,11600000,6,745,9400000,8000000,12800000,5400000,1
734,2,Not Graduate,Yes,1300000,4900000,8,582,2100000,1800000,3400000,1700000,1
735,0,Not Graduate,No,8000000,18000000,16,791,13900000,10300000,23400000,10600000,1
736,2,Not Graduate,Yes,3200000,12500000,8,849,400000,5300000,10400000,4400000,1
737,2,Not Graduate,Yes,2100000,4600000,4,348,5400000,0,7400000,1400000,0
738,4,Not Graduate,Yes,6700000,24700000,6,498,12900000,700000,18800000,8400000,0
739,4,Graduate,No,6900000,16500000,8,426,3900000,5200000,18300000,9000000,0
740,2,Not Graduate,Yes,3800000,15000000,14,730,10800000,2900000,10700000,3600000,1
741,4,Graduate,No,1500000,4900000,16,392,1800000,1100000,3000000,2000000,0
742,2,Graduate,Yes,500000,1300000,4,427,1400000,500000,1800000,600000,0
743,1,Graduate,Yes,5700000,12000000,4,415,15700000,900000,17300000,7400000,0
744,3,Graduate,No,8300000,30500000,10,473,13300000,9400000,23300000,11800000,0
745,1,Not Graduate,No,8400000,24600000,14,817,1800000,13100000,31300000,8200000,1
746,5,Graduate,No,9200000,34800000,12,802,22000000,11000000,19800000,12500000,1
747,4,Graduate,Yes,2500000,8000000,8,464,4000000,3000000,9000000,3000000,0
748,3,Graduate,No,600000,1200000,2,752,1100000,500000,2300000,700000,1
749,2,Not Graduate,No,8400000,26300000,4,419,22900000,7900000,29200000,6200000,1
750,2,Not Graduate,Yes,3300000,11300000,6,647,5100000,6000000,12800000,4400000,1
751,4,Not Graduate,No,1700000,5600000,8,395,2700000,800000,3500000,2400000,0
752,2,Graduate,Yes,2200000,5100000,20,859,3800000,1200000,6400000,3100000,1
753,1,Graduate,No,1200000,2800000,12,431,900000,400000,2900000,900000,0
754,0,Not Graduate,No,9100000,26400000,6,518,15800000,1100000,35300000,5700000,0
755,3,Graduate,Yes,1900000,5300000,12,436,2300000,3500000,5000000,2600000,0
756,0,Not Graduate,Yes,800000,2600000,2,618,300000,1200000,2000000,500000,1
757,4,Not Graduate,No,7600000,23900000,8,672,2500000,1600000,20200000,6700000,1
758,5,Graduate,Yes,5300000,14000000,6,633,11800000,4500000,12800000,6100000,1
759,4,Not Graduate,No,3800000,14900000,20,428,6500000,3500000,12200000,2500000,0
760,4,Not Graduate,No,2700000,8100000,4,325,5000000,800000,9900000,3400000,1
761,4,Graduate,Yes,300000,1100000,12,674,600000,0,800000,200000,1
762,3,Not Graduate,No,3800000,11400000,4,323,5800000,4000000,9600000,4400000,1
763,3,Graduate,Yes,8900000,22500000,12,887,23300000,10800000,33500000,9500000,1
764,5,Not Graduate,Yes,7300000,22100000,18,879,19500000,10600000,19300000,9800000,1
765,3,Graduate,Yes,4200000,15400000,8,362,9900000,5300000,15500000,5600000,0
766,0,Not Graduate,No,2200000,7500000,2,333,3400000,600000,6200000,1500000,1
767,5,Graduate,No,1700000,4300000,2,517,100000,200000,6200000,1600000,0
768,4,Not Graduate,Yes,5500000,18200000,16,797,-100000,4900000,18600000,4800000,1
769,5,Not Graduate,No,9700000,37000000,14,459,28700000,17900000,22800000,5600000,0
770,4,Not Graduate,Yes,300000,1000000,20,655,0,100000,1100000,400000,1
771,3,Not Graduate,No,5100000,18200000,10,395,100000,8000000,15500000,6300000,0
772,1,Not Graduate,No,7200000,28100000,14,767,10000000,10400000,27500000,4000000,1
773,4,Graduate,Yes,5400000,21500000,14,555,4300000,1500000,14300000,7500000,1
774,3,Graduate,Yes,9700000,36000000,6,631,3500000,5500000,28500000,7500000,1
775,5,Graduate,Yes,8000000,27200000,6,348,6400000,300000,16700000,7100000,0
776,4,Graduate,Yes,2000000,8000000,6,837,5100000,2600000,3900000,2900000,1
777,2,Graduate,No,8800000,17700000,14,706,22900000,4300000,30300000,9200000,1
778,1,Not Graduate,No,4600000,13900000,8,520,13300000,6400000,9800000,2200000,0
779,5,Graduate,Yes,800000,1800000,8,881,300000,1100000,2600000,400000,1
780,0,Graduate,Yes,4600000,12000000,12,493,4500000,700000,16200000,3600000,0
781,3,Not Graduate,No,4100000,14100000,10,300,7600000,2100000,8400000,2200000,0
782,3,Graduate,Yes,7000000,24200000,2,354,18200000,7000000,15900000,7900000,1
783,5,Not Graduate,Yes,9800000,37900000,18,301,6700000,4900000,34300000,6200000,0
784,0,Graduate,No,4300000,9900000,4,696,12400000,2100000,17000000,2100000,1
785,1,Not Graduate,No,3800000,9800000,8,335,100000,5100000,14200000,1800000,0
786,5,Graduate,Yes,5700000,11500000,2,732,15800000,3700000,15600000,5300000,1
787,0,Graduate,Yes,2700000,8400000,6,744,1200000,4100000,7500000,2000000,1
788,2,Not Graduate,No,7600000,16700000,20,692,9900000,9600000,25100000,7400000,1
789,4,Graduate,No,1200000,2600000,8,872,1600000,2100000,2700000,900000,1
790,2,Graduate,Yes,3500000,8100000,4,589,3800000,6700000,12500000,2700000,1
791,5,Not Graduate,No,3000000,11800000,6,847,8200000,2200000,7100000,2300000,1
792,0,Graduate,No,4700000,17500000,2,701,5400000,2300000,11700000,7000000,1
793,3,Not Graduate,No,6900000,18500000,6,360,14000000,0,18800000,9600000,0
794,5,Graduate,No,7100000,27000000,20,592,5100000,9600000,20200000,7600000,1
795,5,Not Graduate,Yes,8000000,29100000,4,658,10600000,8600000,28800000,4600000,1
796,2,Not Graduate,Yes,700000,2600000,12,429,1600000,1300000,2700000,800000,0
797,4,Not Graduate,No,3000000,7200000,2,680,900000,3400000,9600000,1700000,1
798,2,Not Graduate,No,2100000,4700000,2,546,6000000,3200000,5700000,1500000,0
799,3,Graduate,Yes,8500000,30800000,20,448,23000000,1400000,22900000,7900000,0
800,0,Graduate,No,6600000,15200000,18,497,1500000,6900000,14500000,9300000,0
801,3,Graduate,Yes,7300000,21600000,20,557,1900000,3800000,26400000,9300000,1
802,3,Graduate,No,8700000,31100000,16,760,400000,1800000,19300000,4800000,0
803,1,Not Graduate,No,8100000,25400000,6,477,4500000,13200000,23200000,4400000,0
804,3,Not Graduate,Yes,4200000,9700000,16,841,7800000,300000,16700000,5100000,1
805,1,Graduate,No,4100000,10300000,12,364,9500000,6100000,14900000,2800000,0
806,5,Not Graduate,No,5500000,21200000,4,582,12100000,8300000,17100000,3100000,1
807,3,Not Graduate,Yes,1100000,3500000,12,503,3000000,400000,2200000,1200000,0
808,1,Graduate,Yes,7800000,16200000,2,335,4900000,7900000,28700000,6400000,0
809,4,Graduate,No,700000,2200000,6,680,300000,200000,2500000,300000,1
810,4,Not Graduate,Yes,9400000,25700000,14,845,27300000,4100000,26500000,12200000,1
811,3,Not Graduate,Yes,6500000,18200000,20,405,10400000,2800000,21300000,6700000,0
812,0,Graduate,Yes,3700000,8500000,8,424,1900000,5600000,14800000,4100000,0
813,2,Not Graduate,Yes,1100000,2200000,4,874,1900000,1300000,2100000,900000,1
814,1,Graduate,Yes,5500000,19700000,10,312,12800000,4800000,19500000,3300000,0
815,5,Not Graduate,No,7000000,21800000,4,631,8100000,7100000,14600000,10000000,1
816,2,Graduate,No,5800000,21700000,8,354,12500000,2300000,12200000,6800000,0
817,0,Graduate,No,4100000,9200000,4,671,3400000,6300000,10400000,4900000,1
818,1,Graduate,Yes,200000,400000,8,569,200000,200000,700000,300000,1
819,4,Not Graduate,Yes,8100000,19400000,6,346,7800000,9300000,29300000,4500000,0
820,1,Not Graduate,Yes,8700000,30700000,6,708,20600000,4500000,27600000,9300000,1
821,4,Graduate,No,5600000,15600000,12,470,9900000,10700000,14600000,7000000,0
822,2,Not Graduate,Yes,4400000,13900000,6,810,13200000,4200000,15000000,5200000,1
823,3,Not Graduate,Yes,4100000,13300000,10,670,1900000,5500000,13200000,6100000,1
824,1,Graduate,Yes,7800000,23300000,6,620,3500000,2100000,22200000,7600000,1
825,2,Graduate,No,7300000,19100000,14,552,2000000,13400000,16800000,4000000,1
826,2,Graduate,No,5800000,13300000,4,878,8400000,5400000,18600000,4500000,1
827,0,Not Graduate,Yes,3000000,11000000,16,331,8000000,4500000,6600000,2400000,0
828,0,Graduate,Yes,6200000,22400000,18,873,15700000,6600000,15800000,8200000,1
829,0,Not Graduate,Yes,4900000,11900000,16,709,14600000,900000,18500000,3800000,1
830,4,Not Graduate,No,2900000,10400000,6,673,5100000,1700000,10600000,1700000,1
831,1,Graduate,No,7100000,14300000,12,720,4600000,500000,27300000,8400000,1
832,5,Not Graduate,No,6100000,23600000,4,725,17400000,5100000,15600000,4800000,1
833,4,Not Graduate,No,4300000,10100000,2,606,9900000,1800000,8900000,5500000,1
834,5,Graduate,Yes,3400000,11600000,16,479,9200000,5700000,11200000,2400000,0
835,0,Graduate,Yes,3900000,12800000,18,587,4500000,5300000,12600000,5000000,1
836,4,Not Graduate,Yes,6400000,23900000,6,300,16200000,11600000,24900000,7000000,0
837,3,Graduate,No,8000000,18600000,20,565,1600000,8600000,22500000,9400000,1
838,0,Graduate,Yes,6300000,21500000,8,629,600000,3400000,22000000,5200000,1
839,0,Graduate,Yes,2500000,5800000,18,494,5100000,4400000,8500000,2300000,0
840,2,Not Graduate,Yes,6700000,23100000,4,304,14400000,7100000,24300000,10000000,1
841,1,Not Graduate,No,1000000,3600000,4,546,2500000,0,2600000,500000,1
842,1,Not Graduate,Yes,6000000,13100000,2,368,9900000,2200000,13700000,4900000,0
843,5,Not Graduate,No,6400000,18300000,8,697,10000000,3600000,22500000,3600000,1
844,0,Graduate,Yes,8500000,25300000,20,557,13000000,5100000,23900000,7100000,1
845,1,Graduate,No,500000,1300000,14,619,1500000,100000,2000000,500000,1
846,0,Not Graduate,No,6500000,24700000,6,554,2700000,1100000,22700000,9600000,1
847,3,Not Graduate,No,8800000,30700000,12,707,15000000,100000,32800000,8000000,1
848,0,Not Graduate,Yes,8600000,17700000,20,711,22000000,0,30800000,7400000,1
849,1,Graduate,Yes,7500000,21400000,20,655,13000000,10300000,28100000,8100000,1
850,5,Not Graduate,No,3200000,7400000,2,838,2200000,2900000,10200000,3600000,1
851,1,Not Graduate,No,2800000,6700000,12,322,1900000,2000000,8600000,2100000,0
852,4,Graduate,No,7200000,16900000,4,702,15900000,7100000,22000000,9600000,1
853,2,Graduate,No,1600000,3800000,10,837,3800000,1100000,5500000,1600000,1
854,1,Not Graduate,No,7900000,29300000,2,771,17600000,12800000,20400000,4000000,1
855,3,Graduate,Yes,3300000,10400000,12,816,7100000,6300000,11800000,4900000,1
856,2,Not Graduate,Yes,3200000,9700000,6,737,7300000,3500000,9700000,2600000,1
857,2,Not Graduate,Yes,3800000,8900000,16,389,200000,5600000,12200000,2200000,0
858,5,Not Graduate,No,9100000,27800000,16,547,21900000,7000000,31900000,9400000,0
859,1,Not Graduate,No,5700000,21800000,18,657,14100000,3200000,21800000,3200000,1
860,2,Graduate,No,5200000,15400000,8,658,1200000,7500000,12800000,3200000,1
861,2,Not Graduate,No,1900000,6500000,18,671,600000,2500000,4800000,1100000,1
862,0,Not Graduate,Yes,9500000,32000000,2,500,8300000,9700000,24500000,5600000,1
863,5,Graduate,No,5800000,13700000,6,369,10500000,2700000,12100000,3000000,0
864,4,Graduate,Yes,8400000,25200000,2,308,8100000,9300000,27700000,10500000,1
865,2,Not Graduate,No,6600000,15000000,16,401,13600000,6600000,23500000,3300000,0
866,2,Graduate,No,6600000,25800000,18,598,3800000,3100000,16400000,5900000,1
867,2,Graduate,Yes,2700000,9600000,14,554,5800000,200000,10200000,1900000,1
868,4,Not Graduate,No,7600000,29900000,18,445,4800000,13900000,18400000,5700000,0
869,3,Not Graduate,No,2400000,8600000,8,684,3400000,2400000,6200000,1600000,1
870,4,Not Graduate,No,7600000,20800000,12,775,1900000,13600000,19200000,6400000,1
871,5,Not Graduate,Yes,800000,2200000,14,574,2200000,1200000,1700000,1100000,1
872,2,Graduate,Yes,4800000,17500000,20,381,400000,6900000,13400000,7000000,0
873,0,Graduate,No,200000,700000,8,501,500000,200000,700000,100000,0
874,2,Not Graduate,Yes,1500000,5000000,4,613,4400000,1300000,5200000,2100000,1
875,4,Graduate,Yes,3800000,11100000,16,857,11300000,7400000,11700000,4700000,1
876,2,Graduate,Yes,8400000,32600000,10,384,13900000,1600000,21600000,7000000,0
877,1,Not Graduate,No,5800000,18700000,20,586,14100000,3000000,15600000,6000000,1
878,3,Not Graduate,No,7800000,21100000,12,717,1200000,10700000,19900000,6200000,1
879,0,Graduate,No,4700000,18500000,4,516,1000000,8400000,10400000,6100000,1
880,1,Graduate,No,9400000,26700000,10,343,7600000,2500000,28600000,13200000,0
881,3,Not Graduate,No,3500000,13700000,4,439,5200000,2800000,13000000,4400000,1
882,4,Not Graduate,No,8800000,19100000,6,586,17600000,8800000,20600000,12400000,1
883,4,Graduate,No,3200000,8400000,18,802,400000,0,9100000,4700000,1
884,0,Not Graduate,No,5100000,19900000,12,867,1800000,7100000,18300000,5700000,1
885,1,Graduate,No,5900000,16800000,4,806,11200000,9700000,22800000,7100000,1
886,5,Graduate,No,1300000,3000000,20,540,1000000,2300000,3200000,1900000,0
887,2,Graduate,Yes,1900000,6500000,16,887,2000000,1200000,4500000,1700000,1
888,0,Not Graduate,No,4000000,12500000,18,868,11000000,800000,14400000,2300000,1
889,2,Not Graduate,No,6100000,23500000,14,510,9000000,9500000,12400000,3400000,0
890,3,Not Graduate,Yes,5300000,20800000,6,487,9700000,3400000,18500000,4200000,0
891,1,Graduate,No,2700000,8100000,16,691,2000000,3600000,8100000,2100000,1
892,4,Graduate,Yes,3800000,7800000,20,891,4600000,7000000,14300000,3300000,1
893,3,Not Graduate,No,7200000,20800000,16,560,2100000,10700000,21100000,3600000,1
894,1,Not Graduate,No,3100000,11200000,18,665,2000000,5400000,12000000,2500000,1
895,0,Graduate,No,8800000,20200000,4,433,16000000,4200000,30500000,12400000,0
896,5,Not Graduate,Yes,2500000,9400000,16,735,0,2200000,9500000,1700000,1
897,1,Graduate,No,7400000,18400000,20,421,18500000,9100000,17500000,4100000,0
898,3,Graduate,Yes,9000000,19800000,20,348,8600000,9200000,25300000,6000000,0
899,3,Not Graduate,No,7000000,18400000,18,837,2800000,7900000,15400000,5700000,1
900,2,Not Graduate,No,9700000,30200000,14,769,23700000,13600000,26400000,7500000,1
901,3,Graduate,Yes,500000,900000,12,538,0,700000,1500000,300000,0
902,4,Not Graduate,No,6900000,18000000,8,347,16400000,9300000,18300000,8700000,0
903,4,Graduate,Yes,9800000,34100000,14,740,6500000,16900000,27100000,5100000,1
904,3,Graduate,Yes,7900000,29200000,4,399,23200000,5500000,30200000,6900000,1
905,1,Graduate,No,5700000,15500000,8,544,10500000,8700000,20900000,7000000,0
906,2,Not Graduate,No,8000000,29300000,4,600,16500000,13200000,29400000,6500000,1
907,5,Not Graduate,Yes,2200000,6700000,6,382,4400000,1300000,8600000,1100000,0
908,5,Graduate,No,9400000,27900000,4,870,1100000,200000,29500000,10400000,1
909,0,Not Graduate,No,8400000,22300000,14,371,8300000,3700000,22300000,9100000,0
910,1,Graduate,No,4100000,9100000,20,550,9900000,5200000,10800000,4800000,1
911,2,Graduate,No,600000,2100000,16,425,900000,500000,2300000,300000,0
912,1,Graduate,No,4900000,18100000,8,382,13600000,400000,15500000,2400000,0
913,1,Graduate,No,1800000,6500000,6,540,2500000,3200000,5000000,1100000,0
914,4,Not Graduate,No,9800000,29400000,8,592,29100000,16700000,35900000,9000000,1
915,2,Graduate,No,5500000,19000000,4,597,1100000,4000000,18700000,5300000,1
916,5,Not Graduate,No,4900000,14100000,2,802,3300000,7500000,16100000,2700000,1
917,1,Graduate,No,7800000,23900000,4,313,2600000,15300000,23000000,10900000,1
918,0,Not Graduate,Yes,200000,700000,20,724,600000,0,500000,300000,1
919,2,Not Graduate,Yes,6700000,22700000,18,538,15300000,5800000,20400000,6400000,0
920,0,Graduate,Yes,3500000,11700000,14,649,2700000,700000,11400000,4800000,1
921,3,Graduate,Yes,4800000,10100000,4,368,9100000,5100000,16500000,3500000,0
922,5,Not Graduate,Yes,9400000,26600000,20,771,10200000,12600000,36900000,11700000,1
923,0,Graduate,Yes,1800000,5200000,16,317,4900000,1500000,4000000,1300000,0
924,4,Graduate,No,5700000,21900000,2,871,3200000,1700000,14400000,6100000,1
925,3,Not Graduate,No,2800000,5900000,4,461,1600000,400000,8900000,2800000,0
926,0,Not Graduate,Yes,2200000,7500000,10,497,2300000,2100000,5700000,1800000,0
927,5,Graduate,Yes,4400000,16500000,10,806,3500000,4400000,11200000,2800000,1
928,5,Graduate,Yes,3700000,12000000,12,605,4900000,1800000,13200000,3100000,1
929,1,Graduate,Yes,3100000,9200000,16,374,2400000,3500000,7100000,3500000,0
930,4,Not Graduate,No,2700000,10700000,6,857,7400000,4200000,8200000,2800000,1
931,5,Not Graduate,No,5100000,15800000,4,607,6000000,7700000,12600000,7000000,1
932,3,Graduate,Yes,4100000,8300000,16,351,6000000,100000,11100000,2200000,0
933,0,Graduate,Yes,5300000,10600000,2,828,8100000,6700000,17400000,5800000,1
934,1,Not Graduate,No,7200000,15000000,10,677,10600000,3900000,24500000,4100000,1
935,1,Not Graduate,Yes,8300000,26300000,20,530,22800000,11000000,33200000,8000000,0
936,2,Not Graduate,No,700000,2300000,8,663,700000,500000,2800000,1000000,1
937,5,Not Graduate,No,5200000,11700000,6,658,8100000,5100000,11400000,5600000,1
938,1,Graduate,Yes,6500000,13900000,8,369,9600000,300000,17200000,8300000,0
939,2,Graduate,No,8400000,23100000,6,689,5700000,2500000,18900000,11900000,1
940,4,Not Graduate,No,2400000,5000000,4,716,1500000,2800000,6900000,1400000,1
941,2,Not Graduate,Yes,7000000,21400000,12,541,3700000,1300000,19800000,9600000,0
942,2,Not Graduate,No,4300000,11800000,20,701,11600000,4600000,14200000,3300000,1
943,5,Not Graduate,Yes,9800000,27800000,6,827,2400000,14900000,32800000,9500000,1
944,4,Graduate,Yes,9200000,29400000,14,517,4900000,0,33500000,10100000,0
945,2,Graduate,Yes,5900000,14300000,2,410,11900000,4400000,16900000,4100000,0
946,2,Graduate,No,3300000,13000000,16,300,5500000,5900000,7400000,3100000,0
947,1,Graduate,No,8400000,25000000,12,694,5300000,14900000,23000000,7700000,1
948,0,Not Graduate,No,6600000,20300000,6,549,10800000,900000,23100000,9800000,0
949,4,Graduate,Yes,400000,1400000,2,496,400000,200000,1100000,400000,1
950,1,Graduate,Yes,2400000,8300000,6,684,5500000,3500000,5300000,2300000,1
951,2,Graduate,No,6600000,23200000,16,555,9900000,6500000,23300000,3300000,1
952,1,Graduate,No,8700000,34000000,16,663,5400000,10700000,17800000,8100000,1
953,3,Not Graduate,Yes,4800000,14200000,12,369,3200000,200000,14000000,3000000,0
954,4,Graduate,Yes,1100000,4400000,6,515,1000000,700000,4300000,1500000,0
955,3,Graduate,No,500000,2000000,12,890,800000,700000,1800000,400000,1
956,1,Not Graduate,Yes,5800000,13900000,6,345,4000000,9300000,20900000,5500000,0
957,2,Not Graduate,Yes,5600000,20000000,10,367,13700000,5000000,19100000,6000000,0
958,3,Graduate,No,4000000,11100000,12,572,9700000,100000,12500000,2400000,1
959,0,Graduate,Yes,7000000,26400000,14,610,14300000,0,13900000,5300000,1
960,5,Not Graduate,No,6400000,22300000,12,776,500000,9100000,24100000,5800000,1
961,1,Not Graduate,Yes,8900000,32000000,16,711,4300000,1200000,22100000,5200000,1
962,1,Not Graduate,No,7100000,17000000,6,754,1100000,500000,27000000,6800000,1
963,3,Graduate,Yes,2200000,5300000,2,506,1600000,1700000,5800000,2800000,0
964,2,Not Graduate,Yes,5600000,16700000,14,856,400000,10200000,14700000,5200000,1
965,3,Graduate,Yes,3300000,8500000,12,586,7500000,5100000,7800000,3900000,1
966,1,Not Graduate,Yes,6800000,16800000,10,736,2000000,2600000,23800000,5600000,1
967,4,Not Graduate,Yes,9200000,28100000,12,760,23200000,9700000,22300000,12900000,1
968,4,Graduate,Yes,8200000,19000000,6,334,24500000,6800000,28600000,10200000,0
969,3,Not Graduate,No,4100000,14100000,8,367,900000,800000,8900000,5300000,0
970,4,Graduate,No,4600000,12500000,6,406,10800000,200000,14000000,6800000,0
971,2,Not Graduate,Yes,8200000,28700000,14,316,23300000,16100000,17700000,4300000,0
972,5,Graduate,No,1400000,4100000,14,880,3700000,1800000,2800000,2100000,1
973,1,Graduate,Yes,3200000,9300000,6,483,6700000,1900000,7800000,3600000,0
974,1,Not Graduate,No,7000000,23000000,10,886,14000000,3700000,26700000,3600000,1
975,3,Graduate,No,8900000,25400000,8,588,19400000,12100000,18800000,4500000,1
976,4,Graduate,Yes,4600000,11000000,2,491,9000000,4000000,16100000,3500000,0
977,4,Graduate,No,8300000,24900000,16,506,15400000,5600000,26700000,7000000,0
978,2,Graduate,No,3300000,8300000,6,653,4700000,3100000,8300000,4600000,1
979,3,Graduate,Yes,8800000,30200000,8,607,13600000,12700000,21500000,5900000,1
980,0,Not Graduate,No,3700000,10600000,20,484,5800000,1300000,13900000,3500000,0
981,0,Not Graduate,Yes,3700000,11300000,6,538,6200000,400000,10400000,5400000,0
982,0,Not Graduate,No,1800000,5700000,20,392,3800000,2400000,3500000,1400000,0
983,4,Not Graduate,Yes,5200000,12200000,2,602,10300000,800000,20500000,7700000,1
984,1,Not Graduate,No,5900000,13000000,6,779,10800000,11600000,13100000,6600000,1
985,5,Not Graduate,Yes,9400000,35300000,16,302,4100000,12500000,37000000,12900000,0
986,4,Graduate,No,1100000,4000000,14,887,2400000,1500000,4200000,1600000,1
987,0,Graduate,No,700000,1900000,18,572,1400000,1000000,2000000,300000,1
988,0,Not Graduate,Yes,600000,1800000,12,511,300000,200000,2200000,400000,0
989,5,Not Graduate,No,5600000,13600000,4,449,5900000,5700000,18800000,4300000,0
990,1,Graduate,Yes,5500000,12100000,4,350,6300000,9200000,17200000,6900000,0
991,0,Graduate,No,2700000,7400000,10,778,6800000,800000,5600000,2800000,1
992,2,Not Graduate,Yes,7400000,28200000,8,376,21900000,5000000,17400000,5200000,0
993,0,Not Graduate,No,2400000,7800000,14,665,5200000,2900000,6200000,2900000,1
994,4,Not Graduate,No,2800000,8300000,14,381,3200000,1100000,9100000,1500000,0
995,3,Not Graduate,Yes,1800000,6400000,20,436,1500000,2900000,4400000,1300000,0
996,1,Not Graduate,No,6200000,18200000,18,324,3100000,12000000,19200000,3400000,0
997,4,Not Graduate,No,900000,3300000,10,649,0,400000,1800000,1200000,1
998,4,Graduate,No,3400000,13500000,12,705,10000000,1100000,8300000,4900000,1
999,3,Graduate,No,500000,1000000,20,501,800000,800000,900000,200000,0
1000,1,Graduate,No,1100000,3600000,20,495,1600000,1100000,3100000,500000,0
1001,1,Not Graduate,Yes,9700000,24700000,14,600,13600000,14000000,35500000,6700000,1
1002,5,Graduate,No,9000000,25900000,4,538,11100000,11100000,31300000,8100000,0
1003,0,Not Graduate,No,2200000,8800000,4,437,1600000,2300000,8300000,2000000,1
1004,3,Not Graduate,Yes,8400000,20500000,12,796,22900000,10500000,17600000,11200000,1
1005,3,Not Graduate,Yes,5800000,13600000,12,321,1700000,3300000,22300000,3400000,0
1006,0,Graduate,No,8300000,31400000,18,558,13300000,2900000,25900000,6300000,1
1007,3,Not Graduate,No,1600000,5600000,6,710,3100000,800000,6000000,1600000,1
1008,2,Graduate,Yes,1700000,4300000,6,765,5000000,1500000,3400000,900000,1
1009,1,Graduate,Yes,5500000,14900000,2,403,7400000,8900000,19700000,4100000,0
1010,2,Not Graduate,No,2400000,8800000,18,421,3200000,1500000,6700000,1400000,0
1011,0,Graduate,No,4300000,16900000,18,469,200000,5800000,12000000,6200000,0
1012,5,Not Graduate,Yes,4900000,14300000,4,663,8500000,6100000,19600000,5500000,1
1013,2,Graduate,No,4500000,17200000,6,832,2700000,8500000,10900000,6700000,1
